	rS1	rS2	rS3	rS4	rS5	rS6
Aaas	30	24	35	17	41	15
Aacs	57	17	33	32	13	22
Aagab	61	32	15	16	14	73
Aak1	58	43	40	82	54	168
Aamp	93	60	53	59	70	111
Abca1	4	4	11	18	9	27
Abca2	67	24	54	17	108	33
Abca3	29	23	5	20	17	49
Abca7	15	22	7	10	29	24
Abcb1a	7	21	10	17	6	16
Abcb1b	64	70	50	65	66	46
Abcb6	12	26	13	1	13	2
Abcb7	42	78	41	27	24	46
Abcf3	81	36	23	17	14	20
Ablim1	145	198	126	147	225	342
Abr	10	20	18	25	29	114
Acadl	103	106	30	33	25	23
Acads	15	6	0	8	15	46
Acly	578	397	216	180	266	291
Acsl4	278	263	138	119	68	111
Adar	79	114	84	89	134	198
Adck1	18	5	0	17	7	25
Adcy6	36	24	18	45	55	180
Add3	51	37	29	61	47	298
Adk	45	59	18	69	51	88
Ado	16	22	16	19	25	47
Afg3l2	47	67	65	36	29	47
Agap3	34	12	6	25	44	45
Agpat3	82	34	24	49	54	141
Agtrap	10	8	7	3	21	77
Ahctf1	319	218	148	70	75	251
Ahcyl2	84	60	37	31	30	43
Aida	13	15	5	24	49	49
Aimp2	72	79	37	23	34	54
Akna	95	33	58	82	82	359
Aldh3a2	14	6	7	10	29	48
Aldh4a1	5	9	9	13	7	33
Alg5	19	12	12	15	34	41
Amica1	48	50	12	57	37	64
Amz2	4	5	8	26	20	26
Ankrd10	42	31	21	39	44	104
Ankrd12	12	25	8	24	26	95
Ankrd32	212	78	20	41	14	16
Anks1	11	25	13	32	51	73
Anp32b	422	319	177	84	91	121
Ap2a2	39	26	24	24	43	101
Ap5b1	10	3	9	7	22	36
Apmap	32	36	20	12	7	0
Appl1	58	49	18	5	23	13
Aqr	153	123	122	84	99	138
Arhgef3	54	45	47	69	59	147
Arid1b	73	35	51	84	59	119
Arl2	2	0	8	10	12	44
Arl2bp	15	20	14	26	18	58
Arl4c	24	28	33	22	35	118
Arl5b	10	6	9	12	11	37
Armc10	26	6	30	4	1	21
Arpc5l	11	9	7	29	12	31
Asb3	43	19	25	10	6	6
Ash2l	74	52	28	14	20	28
Asna1	46	31	18	6	27	18
Asxl1	98	100	54	42	37	50
Atad2	330	262	128	99	69	133
Atad2b	51	53	23	24	21	31
Atf2	39	36	13	9	9	17
Atf3	19	23	23	0	17	25
Atg2b	60	39	31	47	83	145
Atg7	31	24	24	0	8	34
Atic	210	201	119	99	98	102
Atmin	71	59	41	68	39	155
Atp13a1	52	37	24	44	60	126
Atp5b	1275	972	682	467	610	879
Atp6v1a	62	89	45	23	29	44
Atr	151	89	39	8	41	45
Atrx	500	430	203	193	167	143
Atxn10	42	112	63	35	56	22
AU019823	27	16	12	11	34	85
Azin1	476	257	93	116	78	117
BC048403	5	9	4	17	12	22
BC055324	22	24	3	3	9	1
Bcas2	63	58	19	11	14	23
Bcl11b	61	71	62	63	100	215
Bcl7a	6	10	11	22	6	47
Brcc3	31	25	12	15	16	11
Bub1b	48	64	27	16	22	21
Bzw2	199	206	91	69	65	80
C1d	51	62	19	16	0	12
Caap1	22	8	7	18	13	41
Camkk2	8	16	4	37	25	33
Cbx4	14	27	2	19	20	58
Ccdc88a	24	24	12	0	4	19
Ccnl2	37	36	31	44	48	110
Cd2bp2	59	72	26	39	28	36
Cenpe	117	151	47	12	30	14
Cenpf	81	84	28	20	26	64
Chordc1	125	78	13	19	21	54
Chst11	53	50	26	7	5	18
Ckap2l	54	25	16	15	6	17
Ckap5	208	242	101	69	63	119
Ddx50	78	32	42	11	15	19
Desi1	18	16	7	26	31	103
Dnajb1	12	25	15	29	47	94
Dusp6	17	4	23	82	99	172
Eapp	19	28	15	2	10	0
Ebag9	15	38	5	1	11	1
Edn3	1	6	11	12	78	63
Eif4e	96	106	30	9	13	34
Faap100	28	49	21	0	3	27
H2-DMa	49	32	18	107	69	141
H2afj	23	15	2	43	38	47
Hist1h2bb	87	85	51	21	30	9
Josd2	7	5	0	12	9	35
Klhl5	8	1	10	24	15	24
Lrrc32	7	11	3	17	21	36
Lrrc40	51	43	17	5	9	16
Ltb	9	4	0	4	16	45
Naa20	19	39	14	2	10	16
Nlgn2	10	15	16	2	3	15
Nsmce2	25	15	13	0	9	5
Pdhb	144	30	16	14	15	17
Ppp1r11	71	48	26	9	14	19
Ccdc53	0	12	0	8	22	25
