GeneID	S1	S2	S3	S4	S5	S6
Acadl	841	817	838	1240	1146	1023
Atic	454	609	601	688	604	791
Aamp	267	380	335	420	351	393
Abcb6	198	159	227	322	253	259
Arl4c	74	74	85	59	82	82
BC055324	26	32	35	28	46	55
Ahctf1	324	463	435	526	501	583
Aida	101	93	74	102	114	123
Cenpf	173	207	219	297	219	208
Atf3	45	43	31	110	91	77
Ddx50	159	214	190	240	228	237
Ado	162	196	236	208	176	210
Agpat3	314	350	368	453	470	402
Abca7	340	365	432	455	387	394
Chst11	56	86	73	86	84	122
Ccdc53	82	55	92	96	82	77
Dusp6	337	313	339	496	385	450
BC048403	26	33	33	44	20	43
Atp5b	6440	7003	7236	10718	8475	7239
C1d	85	84	101	173	100	89
Ccdc88a	43	57	85	102	73	129
Asb3	31	21	76	62	70	48
Aldh3a2	881	995	920	1407	1159	1046
Nlgn2	46	92	80	100	64	158
Abr	1305	1469	1638	2241	1798	1626
Acly	652	748	751	965	893	946
Amz2	91	168	130	158	141	141
Cbx4	89	88	98	129	110	133
Faap100	68	115	111	139	125	106
Atad2b	218	287	344	405	392	380
Bzw2	269	308	314	417	261	513
Eapp	55	58	67	111	73	59
Adck1	49	49	67	63	47	67
Atg2b	289	331	338	386	389	408
Bcl11b	261	328	321	494	413	346
Hist1h2bb	191	239	246	261	285	294
Ankrd32	55	48	41	77	48	109
Pdhb	155	186	192	327	269	220
Adk	369	355	430	601	425	434
Appl1	175	210	233	379	261	309
Arhgef3	168	208	195	290	216	237
Azin1	924	890	1028	1378	1179	1025
Ebag9	52	50	57	69	90	70
Atad2	173	245	199	337	181	271
Nsmce2	32	69	68	81	54	74
Desi1	107	141	143	170	189	138
Atxn10	82	113	127	165	165	165
Adcy6	791	816	1027	1343	1159	1037
Aaas	45	64	98	70	56	83
Abcf3	206	286	318	440	237	361
Atp6v1a	408	552	570	594	518	576
Arid1b	548	566	714	766	775	791
Abca3	599	672	752	1010	761	643
Anks1	257	262	302	421	339	447
H2-DMa	246	296	365	436	411	356
Ltb	53	52	47	75	35	46
Ppp1r11	172	159	173	171	197	192
Ankrd12	127	151	144	154	153	216
Afg3l2	419	376	456	603	653	563
Ap5b1	112	177	151	237	191	149
Arl2	67	104	110	102	147	93
Add3	858	1008	958	1193	1148	879
Ablim1	462	614	662	740	550	840
Arl5b	74	91	94	132	124	136
Abca2	142	187	209	220	187	250
Arpc5l	73	132	115	154	84	110
Atf2	246	278	270	286	354	338
Ckap5	385	489	535	604	540	573
Aqr	266	254	333	354	373	391
Bub1b	86	160	191	220	139	166
Ckap2l	74	49	86	110	70	83
Naa20	29	69	90	95	120	96
Apmap	127	168	141	230	212	120
Asxl1	260	315	382	565	477	588
Edn3	182	146	168	266	190	198
Alg5	118	119	118	183	135	136
Adar	378	456	517	582	501	566
Bcas2	44	64	99	118	104	94
Cenpe	111	193	200	210	184	246
Eif4e	124	223	197	265	272	219
Lrrc40	73	98	117	125	135	112
Anp32b	338	1106	744	525	469	1084
Abca1	407	381	519	581	605	515
Akna	142	209	195	237	189	340
Caap1	33	49	48	60	32	35
Aldh4a1	193	204	180	256	179	193
Agtrap	65	51	94	133	86	72
Ccnl2	210	219	309	340	247	271
Abcb1a	1842	2061	2101	3118	2317	2034
Abcb1b	37	42	40	18	19	59
Armc10	83	108	87	129	116	98
Agap3	128	272	191	213	224	244
Klhl5	81	81	88	160	95	67
Acads	412	399	468	674	603	491
Camkk2	42	110	111	96	79	93
Bcl7a	42	80	61	58	94	76
Aacs	329	451	411	520	468	393
Aimp2	117	150	113	216	184	117
Ahcyl2	1515	1539	1993	2366	1969	1884
Aak1	408	480	524	690	543	616
Atg7	119	164	166	190	163	201
H2afj	175	178	224	182	175	297
Josd2	53	36	44	86	52	65
Lrrc32	62	83	66	91	80	105
Cd2bp2	147	195	177	285	229	274
Ap2a2	1271	1219	1423	1965	1572	1296
Ankrd10	131	150	180	216	176	203
Ash2l	241	283	335	459	338	368
Atp13a1	381	448	548	597	567	604
Dnajb1	151	172	197	241	207	185
Asna1	150	172	168	242	212	246
Arl2bp	233	224	310	335	295	232
Atmin	204	178	236	236	212	186
Chordc1	98	133	120	160	131	166
Amica1	67	89	83	75	100	99
AU019823	57	98	105	112	99	104
Aagab	163	141	200	249	210	205
Atr	122	131	160	197	165	203
Brcc3	81	79	81	147	140	96
Abcb7	325	283	383	496	404	450
Atrx	429	568	580	589	528	1076
Acsl4	133	163	153	180	137	217
